family,rho,J,test,type_I,mcse,R,skew_D,abs_skew,skew_mcse
mix,0.0,30,paired_t,0.03975,0.0009768564057731,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,40,paired_t,0.03955,0.0009744972742393,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,50,paired_t,0.0401,0.0009809687813585,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,75,paired_t,0.038475,0.0009616999840776,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,100,paired_t,0.040775,0.0009888427500745,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,150,paired_t,0.0398,0.0009774451391254,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,200,paired_t,0.041275,0.0009946277491478,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.0,400,paired_t,0.0436,0.0010210171399148,40000,0.0971819162318424,0.0971819162318424,0.0024494897427831
mix,0.6,10,paired_t,0.04295,0.0010137220711319,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,15,paired_t,0.041375,0.0009957799628306,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,20,paired_t,0.03995,0.0009792088324254,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,25,paired_t,0.03745,0.0009493089262721,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,30,paired_t,0.03925,0.0009709458983383,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,40,paired_t,0.035775,0.0009286434915375,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,50,paired_t,0.033825,0.0009038925458122,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,75,paired_t,0.031875,0.0008783362735165,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,100,paired_t,0.031675,0.0008756668084237,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,150,paired_t,0.0323,0.0008839783651198,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,200,paired_t,0.03525,0.0009220552789827,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
mix,0.6,400,paired_t,0.04015,0.0009815546024037,40000,0.1339109582420315,0.1339109582420315,0.0024494897427831
empirical_copula,0.0,10,paired_t,0.053675,0.001126876150859,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
