dgp,contrast,label,J0,sd_tau,delta,target_mcse,sd_pilot,sigma_ub,inflation,J_precision,J_power,J_contrast,J_final,capped_at_J_max,n
3,C5,"MVBCF vs MVBART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.8521461481772399,1.9756964318934573,1.0667065522004338,24,15,24,34,0,500
3,C6,"MVBCF vs MVBART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.9397810428321947,2.069177148223292,1.0667065522004338,21,14,21,34,0,500
3,C1,"MVBCF vs BCF, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,1.517584550670384,1.6685490153529037,1.0994768064921536,17,12,17,34,0,500
3,C2,"MVBCF vs BCF, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,0.9891794372918078,1.0875798487613024,1.0994768064921536,6,7,7,34,0,500
3,C3,"MVBCF vs BART, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,2.1345720233670535,2.346912431479103,1.0994768064921536,34,20,34,34,0,500
3,C4,"MVBCF vs BART, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,1.9374579784970143,2.130190110910641,1.0994768064921536,22,15,22,34,0,500
3,C5,"MVBCF vs MVBART, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,1.779094939880978,1.956073622946688,1.0994768064921536,23,15,23,34,0,500
3,C6,"MVBCF vs MVBART, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,1.8250068569491766,2.006552710904763,1.0994768064921536,20,13,20,34,0,500
3,C1,"MVBCF vs BCF, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,1.5539739597522015,1.7913019198133926,1.152723254190846,20,13,20,51,0,500
3,C2,"MVBCF vs BCF, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,0.8445421579495231,0.9735233846129339,1.152723254190846,5,6,6,51,0,500
3,C3,"MVBCF vs BART, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,2.507039745934796,2.88992301431975,1.152723254190846,51,28,51,51,0,500
3,C4,"MVBCF vs BART, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,1.8354327848636727,2.11574605261662,1.152723254190846,22,14,22,51,0,500
3,C5,"MVBCF vs MVBART, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,1.906047273106531,2.197145015296949,1.152723254190846,29,18,29,51,0,500
3,C6,"MVBCF vs MVBART, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,1.5389926916668122,1.774032663714097,1.152723254190846,16,11,16,51,0,500
1,C1,"MVBCF vs BCF, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,3.7330705013183905,3.982090763582485,1.0667065522004338,96,50,96,96,0,100
1,C2,"MVBCF vs BCF, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.9523668963425576,3.149309112828265,1.0667065522004338,48,27,48,96,0,100
1,C3,"MVBCF vs BART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,2.221142678993063,2.369307449053925,1.0667065522004338,34,20,34,96,0,100
1,C4,"MVBCF vs BART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.1936553764461353,2.3399865633248016,1.0667065522004338,27,17,27,96,0,100
1,C5,"MVBCF vs MVBART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,3.5884972984979826,3.827873580861354,1.0667065522004338,88,47,88,96,0,100
1,C6,"MVBCF vs MVBART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.442642128769175,2.6055823634388946,1.0667065522004338,33,20,33,96,0,100
1,C1,"MVBCF vs BCF, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,3.5071211950915857,3.855998411560242,1.0994768064921536,90,47,90,108,0,100
1,C2,"MVBCF vs BCF, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,2.6119791957493432,2.8718105447664315,1.0994768064921536,40,23,40,108,0,100
1,C3,"MVBCF vs BART, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,1.9927038020423402,2.190931612554285,1.0994768064921536,29,18,29,108,0,100
1,C4,"MVBCF vs BART, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,2.1679016506268862,2.3835575836203176,1.0994768064921536,28,17,28,108,0,100
1,C5,"MVBCF vs MVBART, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,3.846047754836222,4.228640303103647,1.0994768064921536,108,56,108,108,0,100
1,C6,"MVBCF vs MVBART, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,2.5492522151968195,2.8028436845076476,1.0994768064921536,38,22,38,108,0,100
1,C1,"MVBCF vs BCF, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,3.9760903199379554,4.583331772555602,1.152723254190846,127,65,127,144,0,100
1,C2,"MVBCF vs BCF, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,2.5186845244831133,2.9033462213422983,1.152723254190846,41,24,41,144,0,100
1,C3,"MVBCF vs BART, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,2.3673772094675116,2.7289307607946345,1.152723254190846,45,26,45,144,0,100
1,C4,"MVBCF vs BART, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,2.412439272443282,2.7808748486686174,1.152723254190846,38,22,38,144,0,100
1,C5,"MVBCF vs MVBART, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,4.246568571541439,4.89511834293182,1.152723254190846,144,74,144,144,0,100
1,C6,"MVBCF vs MVBART, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,2.7029170566741376,3.1157153453773554,1.152723254190846,47,27,47,144,0,100
