reject_rate,t1e_or_power,ci_cover,E_theta,bias,rmse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,pJmax,mean_wall,family,rho,sigma_a,sigma_b,theta,design,J0,Jmax,alpha,alpha_adj,delta,power_target,gamma,correction,K,seed,R,reject_rate_mcse,ci_cover_mcse,pJmax_mcse,module_cell,theta_mult,B,sigma_ratio,cell_id,module,projected_R,bootstrap_B
1.0,1.0,0.9484,0.5004702599696775,0.00047025996967753336,0.051620681502132594,790.7046,140.97725397680293,557.0,792.0,1000.0,0.0,0.1126,9.287219047546387e-05,normal,0.0,1.0,1.0,0.5,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100040,5000,0.0,0.003128496124338337,0.0,A,1.0,50,1.0,A_0040,A,5000,50
0.81,0.81,0.9542,0.5003718178488376,0.0003718178488375523,0.17212660623997703,65.0,0.0,65.0,65.0,65.0,0.0,0.0,7.519755363464356e-05,normal,0.0,1.0,1.0,0.5,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100041,5000,0.005547972602672078,0.002956428926931948,0.0,A,1.0,50,1.0,A_0041,A,5000,50
0.9998,0.9998,0.9538,0.9968510038892935,-0.0031489961107065145,0.17592793220805653,65.435,12.83165519331002,46.0,65.0,88.0,0.0,0.0,0.00014490523338317872,normal,0.0,1.0,1.0,1.0,D1,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100042,5000,0.00019997999899988897,0.002968688599365047,0.0,A,2.0,50,1.0,A_0042,A,5000,50
1.0,1.0,0.9444,0.9984875407483426,-0.0015124592516574387,0.16266491602388827,80.22,14.315543999443403,57.0,80.0,105.0,0.0,0.0,0.0003186089515686035,normal,0.0,1.0,1.0,1.0,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100043,5000,0.0,0.003240636974423392,0.0,A,2.0,50,1.0,A_0043,A,5000,50
0.9998,0.9998,0.8308,1.000556539137235,0.0005565391372350792,0.17848215471732798,65.3776,8.640683898858933,52.0,65.0,81.0,0.0,0.0,0.00014559121131896974,normal,0.0,1.0,1.0,1.0,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100044,5000,0.00019997999899988897,0.005302289316889451,0.0,A,2.0,50,1.0,A_0044,A,5000,50
0.9998,0.9998,0.9486,0.9989933108278887,-0.0010066891721113302,0.1637049140882032,78.7324,15.456584041760326,55.0,77.0,106.0,0.0,0.0,0.00014012618064880372,normal,0.0,1.0,1.0,1.0,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100045,5000,0.00019997999899988897,0.0031227564746550444,0.0,A,2.0,50,1.0,A_0045,A,5000,50
1.0,1.0,0.947,1.0008568654968015,0.0008568654968015288,0.05129907247647759,788.3726,140.41604099688897,555.95,788.0,1000.0,0.0,0.1114,8.320512771606445e-05,normal,0.0,1.0,1.0,1.0,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100046,5000,0.0,0.0031683118533376744,0.0,A,2.0,50,1.0,A_0046,A,5000,50
0.9996,0.9996,0.9512,1.0035230977570677,0.003523097757067717,0.1742950494217723,65.0,0.0,65.0,65.0,65.0,0.0,0.0,7.398571968078613e-05,normal,0.0,1.0,1.0,1.0,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100047,5000,0.0002827861382741226,0.0030469184432800286,0.0,A,2.0,50,1.0,A_0047,A,5000,50
0.0482,0.0482,0.9518,0.00453833710685683,0.00453833710685683,0.17843997718165092,46.4436,8.955089002349446,33.0,46.0,62.0,0.0,0.0,0.00016096181869506836,normal,0.3,1.0,1.0,0.0,D1,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100048,5000,0.0030290843500965763,0.003029084350096577,0.0,A,0.0,50,1.0,A_0048,A,5000,50
0.053,0.053,0.947,-0.0018471594838479308,-0.0018471594838479308,0.1579868153150013,58.1152,8.633859447547199,50.0,56.0,75.0,0.0,0.0,0.00034288625717163087,normal,0.3,1.0,1.0,0.0,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100049,5000,0.003168311853337673,0.0031683118533376744,0.0,A,0.0,50,1.0,A_0049,A,5000,50
